"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","New_1_min","New_1_max","Fixed_1_min","Fixed_1_max","Assigned_1_min","Assigned_1_max","Reopened_1_min","Reopened_1_max","Omega_N_min","Omega_N_max","Theta_N_min","Theta_N_max","Omega_F_min","Omega_F_max","Theta_F_min","Theta_F_max","Omega_A_min","Omega_A_max","Theta_A_min","Theta_A_max","Omega_R_min","Omega_R_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.911111111111111,1,0.269230769230769,0.538461538461538,0,0.166666666666667,0.666666666666667,1,0,0.0888888888888889,0.461538461538462,0.730769230769231,0.833333333333333,1,0,0.333333333333333,0.836734693877551,0.918367346938775,0,0.0816326530612245,0.212121212121212,0.424242424242424,0.363636363636364,0.575757575757576,0,0.142857142857143,0.714285714285714,0.857142857142857,0.5,0.75,0,0.25,0.0125510204081633,0.061530612244898,0,0.0168979591836735,0.0852727272727273,0.234181818181818,0.0836363636363637,0.218212121212121,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.06225,0,0.10425,0.0459072446763764,0.220814613073417,0.079808970418572,0.256599864763417,-0.210692620087041,0.141005642654845,0.207595028317661,0.670658150970753,7
"CA Program",0.977777777777778,1,0.115384615384615,0.173076923076923,0.166666666666667,0.666666666666667,1,1,0,0.0222222222222223,0.826923076923077,0.884615384615385,0.333333333333333,0.833333333333333,0,0,0.956521739130435,0.978260869565218,0,0.0217391304347826,0.109090909090909,0.163636363636364,0.781818181818182,0.836363636363636,0.111111111111111,0.444444444444444,0.222222222222222,0.555555555555556,1,1,0,0,0.0143478260869565,0.0655434782608696,0,0.00450000000000001,0.0438545454545455,0.0903272727272727,0.179818181818182,0.316981818181818,0.0505555555555556,0.350222222222222,0.0268888888888889,0.134444444444444,0,0.083,0,0,0.0510384941090889,0.27645266000768,0.097004585248989,0.213959483141519,-0.16292098903243,0.179448074758691,0.291054584398489,0.737819105018703,3
"Calendar",0.844444444444444,0.933333333333333,0.0192307692307692,0.0961538461538462,0,0,0.666666666666667,1,0.0666666666666667,0.155555555555556,0.903846153846154,0.980769230769231,1,1,0,0.333333333333333,0.775510204081633,0.857142857142857,0.0612244897959183,0.142857142857143,0.0178571428571429,0.0892857142857143,0.839285714285714,0.910714285714286,0,0,1,1,0.5,0.75,0,0.25,0.0116326530612245,0.0574285714285714,0.00453061224489796,0.0295714285714286,0.00717857142857143,0.0492857142857143,0.193035714285714,0.345160714285714,0,0,0.121,0.242,0,0.06225,0,0.10425,0.00882783072401141,0.0792924518814988,0.149498487273271,0.338346305719247,-0.329518474995235,-0.0702060353917718,0,0.301660222708556,16
"Conduit",0.6,0.955555555555556,0.0961538461538462,0.596153846153846,0,0.166666666666667,0.666666666666667,1,0.0444444444444444,0.4,0.403846153846154,0.903846153846154,0.833333333333333,1,0,0.333333333333333,0.442622950819672,0.704918032786885,0.0327868852459016,0.295081967213115,0.0641025641025641,0.397435897435897,0.269230769230769,0.602564102564103,0,0.142857142857143,0.714285714285714,0.857142857142857,0.5,0.75,0,0.25,0.00663934426229508,0.0472295081967213,0.00242622950819672,0.0610819672131147,0.0257692307692308,0.219384615384615,0.0619230769230769,0.228371794871795,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.06225,0,0.10425,0.0152088671601323,0.207159206040999,0.0707578384062345,0.28210255456074,-0.266893687400608,0.136401367634765,0.1094088030264,0.662614239955643,10
"Data Platform and Tools",0.755555555555556,0.933333333333333,0.538461538461538,0.634615384615385,0,0.166666666666667,0.666666666666667,1,0.0666666666666667,0.244444444444444,0.365384615384615,0.461538461538462,0.833333333333333,1,0,0.333333333333333,0.641509433962264,0.792452830188679,0.0566037735849056,0.207547169811321,0.491228070175439,0.578947368421053,0.333333333333333,0.421052631578947,0,0.142857142857143,0.714285714285714,0.857142857142857,0.5,0.75,0,0.25,0.00962264150943396,0.0530943396226415,0.00418867924528302,0.0429622641509434,0.197473684210526,0.319578947368421,0.0766666666666667,0.159578947368421,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.06225,0,0.10425,0.0971872568961285,0.256931210081417,0.0785038797411991,0.241315774061634,-0.144128517165505,0.178427330340218,0.323886022744859,0.736035810746411,2
"Developer Infrastructure",0.8,0.911111111111111,0.173076923076923,0.480769230769231,0,0.166666666666667,0.666666666666667,1,0.0888888888888889,0.2,0.519230769230769,0.826923076923077,0.833333333333333,1,0,0.333333333333333,0.72,0.82,0.08,0.18,0.132352941176471,0.367647058823529,0.397058823529412,0.632352941176471,0,0.142857142857143,0.714285714285714,0.857142857142857,0.5,0.75,0,0.25,0.0108,0.05494,0.00592,0.03726,0.0532058823529412,0.202941176470588,0.0913235294117647,0.239661764705882,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.06225,0,0.10425,0.0300370183269704,0.203060962523824,0.0861946129993599,0.276221472680301,-0.246184454353331,0.116866349524464,0.145588924130582,0.628485534204466,8
"GeckoView",0.733333333333333,0.933333333333333,0.115384615384615,0.288461538461538,0,0,1,1,0.0666666666666667,0.266666666666667,0.711538461538462,0.884615384615385,1,1,0,0,0.611111111111111,0.777777777777778,0.0555555555555555,0.222222222222222,0.0983606557377049,0.245901639344262,0.60655737704918,0.754098360655738,0,0,1,1,1,1,0,0,0.00916666666666666,0.0521111111111111,0.00411111111111111,0.046,0.0395409836065574,0.135737704918033,0.139508196721312,0.285803278688525,0,0,0.121,0.242,0,0.083,0,0,0.0228577832245643,0.127105362067269,0.124181945578123,0.2692774314555,-0.246419648230936,0.00292341648914606,0.1451780280363,0.429421227632976,9
"MailNews Core",0,0.844444444444444,0.153846153846154,0.326923076923077,0,0.166666666666667,0.666666666666667,1,0.155555555555556,1,0.673076923076923,0.846153846153846,0.833333333333333,1,0,0.333333333333333,0,0.457831325301205,0.0843373493975904,0.542168674698795,0.131147540983607,0.278688524590164,0.573770491803279,0.721311475409836,0,0.142857142857143,0.714285714285714,0.857142857142857,0.5,0.75,0,0.25,0,0.0306746987951807,0.00624096385542169,0.112228915662651,0.0527213114754098,0.15383606557377,0.131967213114754,0.273377049180328,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.06225,0,0.10425,0.0247413353397202,0.168629308245521,0.105418719038316,0.32722536781245,-0.30248403247273,0.0632105892072047,0.0472305952719442,0.534746094323533,14
"Mozilla QA",1,1,0,0.0192307692307692,0,0,1,1,0,0,0.980769230769231,1,1,1,0,0,1,1,0,0,0,0.0188679245283019,0.962264150943396,0.981132075471698,0,0,1,1,1,1,0,0,0.015,0.067,0,0,0,0.0104150943396226,0.221320754716981,0.371849056603774,0,0,0.121,0.242,0,0.083,0,0,0.00703927917781219,0.0752804422261123,0.160646090720813,0.28807032549804,-0.281031046320228,-0.0853656484947011,0.0847100922321627,0.275175580003323,12
"mozilla.org",0.977777777777778,1,0.230769230769231,0.557692307692308,0,0,1,1,0,0.0222222222222223,0.442307692307692,0.769230769230769,1,1,0,0,0.956521739130435,0.978260869565218,0,0.0217391304347826,0.173913043478261,0.420289855072464,0.333333333333333,0.579710144927536,0,0,1,1,1,1,0,0,0.0143478260869565,0.0655434782608696,0,0.00450000000000001,0.0699130434782609,0.232,0.0766666666666667,0.219710144927536,0,0,0.121,0.242,0,0.083,0,0,0.0395423856423189,0.178583452184931,0.0927620567209473,0.218785557711547,-0.179243172069228,0.0858213954639837,0.262538870774143,0.574248364000345,4
