"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","Omega_N_min","Omega_N_max","Omega_F_min","Omega_F_max","Omega_A_min","Omega_A_max","Omega_R_min","Omega_R_max","Theta_N_min","Theta_N_max","Theta_F_min","Theta_F_max","Theta_A_min","Theta_A_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.864406779661017,0.966101694915254,0.0757575757575758,0.515151515151515,0,0.2,0.666666666666667,1,0.784615384615384,0.876923076923077,0.0526315789473684,0.357894736842105,0,0.166666666666667,0.5,0.75,0.0307692307692308,0.123076923076923,0.336842105263158,0.642105263157895,0.666666666666667,0.833333333333333,0,0.25,0.0117692307692308,0.0587538461538461,0.00227692307692308,0.0254769230769231,0.0211578947368421,0.197557894736842,0.0774736842105263,0.243357894736842,0,0.131333333333333,0.0806666666666667,0.201666666666667,0,0.06225,0,0.10425,0.0154522152640072,0.211129135212362,0.0752814650871069,0.26972241047465,-0.254270195210643,0.135847670125255,0.185160533834244,0.60906767302251,7
"CA Program",0.983050847457627,1,0.053030303030303,0.575757575757576,0,0.4,0.666666666666667,1,0.966666666666667,0.983333333333333,0.0348258706467662,0.378109452736318,0,0.285714285714286,0.5,0.75,0,0.0166666666666666,0.278606965174129,0.621890547263682,0.428571428571429,0.714285714285714,0,0.25,0.0145,0.0658833333333333,0,0.00344999999999999,0.014,0.208716417910448,0.0640796019900497,0.235696517412935,0,0.225142857142857,0.0518571428571429,0.172857142857143,0,0.06225,0,0.10425,0.0133746304378432,0.263734857753362,0.0544074075964112,0.242270242747233,-0.22889561230939,0.20932745015695,0.22925158340516,0.736746643606789,3
"Calendar",0.186440677966102,0.88135593220339,0,0.053030303030303,0,0.4,0.666666666666667,1,0.11,0.52,0,0.0503597122302158,0,0.285714285714286,0.5,0.75,0.07,0.48,0.899280575539568,0.949640287769784,0.428571428571429,0.714285714285714,0,0.25,0.00165,0.03484,0.00518,0.09936,0,0.0277985611510791,0.206834532374101,0.359913669064748,0,0.225142857142857,0.0518571428571429,0.172857142857143,0,0.06225,0,0.10425,0.000774320709559341,0.164264591625105,0.123831092604648,0.345572674420147,-0.344798353710588,0.0404334990204574,0.0278581837023087,0.443275353821801,14
"Conduit",0.745762711864407,0.966101694915254,0.0984848484848485,0.212121212121212,0,0,1,1,0.611111111111111,0.791666666666667,0.0884353741496599,0.19047619047619,0,0,1,1,0.0277777777777778,0.208333333333333,0.707482993197279,0.809523809523809,1,1,0,0,0.00916666666666666,0.0530416666666667,0.00205555555555556,0.043125,0.0355510204081633,0.105142857142857,0.162721088435374,0.306809523809524,0,0,0.121,0.242,0,0.083,0,0,0.0209853522337181,0.113184346430862,0.134110771970027,0.277786157872037,-0.256800805638319,-0.0209264255391646,0.180763327769989,0.336655927368399,8
"Data Platform and Tools",0.796610169491525,0.949152542372881,0.0984848484848485,0.204545454545455,0,0.2,0.666666666666667,1,0.691176470588235,0.823529411764706,0.0890410958904109,0.184931506849315,0,0.166666666666667,0.5,0.75,0.0441176470588235,0.176470588235294,0.719178082191781,0.815068493150685,0.666666666666667,0.833333333333333,0,0.25,0.0103676470588235,0.0551764705882353,0.00326470588235294,0.0365294117647059,0.0357945205479452,0.102082191780822,0.16541095890411,0.30891095890411,0,0.131333333333333,0.0806666666666667,0.201666666666667,0,0.06225,0,0.10425,0.0216632256824669,0.164644983669994,0.117012685463011,0.305672268682473,-0.284009043000006,0.0476322982069836,0.133486107611539,0.455784036743581,9
"Developer Infrastructure",0.661016949152542,0.932203389830508,0.0303030303030303,0.143939393939394,0,0.2,0.333333333333333,1,0.52,0.733333333333333,0.0272108843537415,0.129251700680272,0,0.166666666666667,0.2,0.6,0.0533333333333334,0.266666666666667,0.768707482993197,0.870748299319728,0.666666666666667,0.833333333333333,0,0.4,0.0078,0.0491333333333333,0.00394666666666667,0.0552,0.0109387755102041,0.0713469387755102,0.176802721088435,0.330013605442177,0,0.131333333333333,0.0806666666666667,0.201666666666667,0,0.0498,0,0.1668,0.00879383148444511,0.141542824835599,0.122678705909132,0.353691056412241,-0.344897224927796,0.0188641189264668,0.0276863843960496,0.405796250790276,15
"GeckoView",0,0.966101694915254,0.0984848484848485,1,0,0.2,0,1,0,0.491379310344828,0.051792828685259,0.525896414342629,0,0.166666666666667,0,0.5,0.0172413793103448,0.508620689655172,0,0.47410358565737,0.666666666666667,0.833333333333333,0,0.5,0,0.0329224137931034,0.00127586206896552,0.105284482758621,0.0208207171314741,0.290294820717131,0,0.179685258964143,0,0.131333333333333,0.0806666666666667,0.201666666666667,0,0.0415,0,0.2085,0.00977085603804688,0.232789228890876,0.0384544224204009,0.326217283020992,-0.316446426982945,0.194334806470475,0.0771226863601131,0.710695322938705,11
"MailNews Core",0.0508474576271186,0.542372881355932,0.053030303030303,0.204545454545455,0.2,0.6,0,1,0.0340909090909091,0.363636363636364,0.0460526315789474,0.177631578947368,0.142857142857143,0.428571428571428,0,0.5,0.306818181818182,0.636363636363636,0.69078947368421,0.822368421052632,0.285714285714286,0.571428571428571,0,0.5,0.000511363636363636,0.0243636363636364,0.0227045454545455,0.131727272727273,0.0185131578947368,0.0980526315789474,0.158881578947368,0.311677631578947,0.065,0.337714285714286,0.0345714285714286,0.138285714285714,0,0.0415,0,0.2085,0.0394314709893005,0.235407834087414,0.101439557451472,0.370824824530449,-0.331393353541149,0.133968276635941,0.0511508040881858,0.605802025984171,12
"Mozilla QA",1,1,0.0151515151515152,0.166666666666667,0,1,1,1,1,1,0.0131578947368421,0.144736842105263,0,0.5,1,1,0,0,0.723684210526316,0.855263157894737,0,0.5,0,0,0.015,0.067,0,0,0.00528947368421053,0.0798947368421053,0.166447368421053,0.324144736842105,0,0.394,0,0.121,0,0.083,0,0,0.00952155130893544,0.292784615346617,0.07811129964853,0.208899871811021,-0.199378320502086,0.214673315698087,0.280541032431363,0.746035656296808,1
"mozilla.org",0.983050847457627,1,0.143939393939394,0.28030303030303,0,0,1,1,0.966666666666667,0.983333333333333,0.126666666666667,0.246666666666667,0,0,1,1,0,0.0166666666666666,0.633333333333333,0.753333333333333,1,1,0,0,0.0145,0.0658833333333333,0,0.00344999999999999,0.05092,0.13616,0.145666666666667,0.285513333333333,0,0,0.121,0.242,0,0.083,0,0,0.0307006429208316,0.133766640073834,0.125142740938883,0.249173275767673,-0.218472632846841,0.00862389913495079,0.24736262412446,0.388002774530908,2
"NSS",0.88135593220339,0.966101694915254,0.0303030303030303,0.356060606060606,0.2,0.4,0.333333333333333,1,0.8125,0.890625,0.0228571428571429,0.268571428571429,0.166666666666667,0.333333333333333,0.2,0.6,0.03125,0.109375,0.485714285714286,0.731428571428572,0.5,0.666666666666667,0,0.4,0.0121875,0.059671875,0.0023125,0.022640625,0.00918857142857143,0.148251428571429,0.111714285714286,0.277211428571429,0.0758333333333333,0.262666666666667,0.0605,0.161333333333333,0,0.0498,0,0.1668,0.0456189425885329,0.244211352122622,0.0819028512432708,0.294704297200602,-0.249085354612069,0.162308500879351,0.194169748477837,0.655046194324977,5
"Release Engineering",0.864406779661017,0.949152542372881,0.136363636363636,0.257575757575758,0,0.4,0.666666666666667,1,0.796875,0.875,0.121621621621622,0.22972972972973,0,0.285714285714286,0.5,0.75,0.046875,0.125,0.662162162162162,0.77027027027027,0.428571428571429,0.714285714285714,0,0.25,0.011953125,0.058625,0.00346875,0.025875,0.0488918918918919,0.126810810810811,0.152297297297297,0.291932432432432,0,0.225142857142857,0.0518571428571429,0.172857142857143,0,0.06225,0,0.10425,0.028553670698715,0.221891533133262,0.0974345066190061,0.279184652160859,-0.250630981462144,0.124457026514256,0.191484056644792,0.589275212431074,6
"Remote Protocol",0.542372881355932,0.88135593220339,0.0984848484848485,0.181818181818182,0,0.2,0.666666666666667,1,0.40506329113924,0.658227848101266,0.0909090909090909,0.167832167832168,0,0.166666666666667,0.5,0.75,0.0886075949367089,0.341772151898734,0.755244755244755,0.832167832167832,0.666666666666667,0.833333333333333,0,0.25,0.00607594936708861,0.0441012658227848,0.00655696202531646,0.070746835443038,0.0365454545454545,0.0926433566433566,0.173706293706294,0.315391608391608,0,0.131333333333333,0.0806666666666667,0.201666666666667,0,0.06225,0,0.10425,0.0200015974060459,0.155018046740567,0.122450571307089,0.324771275283361,-0.304769677877315,0.0325674754334779,0.0974122858245459,0.429607297198007,10
"support.mozilla.org",0.983050847457627,0.983050847457627,0.053030303030303,0.272727272727273,0,0,1,1,0.983050847457627,0.983050847457627,0.0434782608695652,0.22360248447205,0,0,1,1,0.0169491525423728,0.0169491525423728,0.596273291925466,0.77639751552795,1,1,0,0,0.0147457627118644,0.065864406779661,0.00125423728813559,0.00350847457627118,0.0174782608695652,0.123428571428571,0.137142857142857,0.294254658385093,0,0,0.121,0.242,0,0.083,0,0,0.0151222598814724,0.127783086117712,0.121731237707538,0.25330289218704,-0.238180632305568,0.00605184841017396,0.21311786887233,0.383533561521719,4
