"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","Omega_N_min","Omega_N_max","Omega_F_min","Omega_F_max","Omega_A_min","Omega_A_max","Omega_R_min","Omega_R_max","Theta_N_min","Theta_N_max","Theta_F_min","Theta_F_max","Theta_A_min","Theta_A_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0.954545454545455,0.977272727272727,0.379310344827586,0.827586206896552,0,0.0588235294117647,0.75,1,0.933333333333333,0.955555555555556,0.261904761904762,0.571428571428572,0,0.0555555555555556,0.6,0.8,0.0222222222222222,0.0444444444444444,0.119047619047619,0.428571428571429,0.888888888888889,0.944444444444444,0,0.2,0.014,0.0640222222222222,0.00164444444444444,0.00919999999999999,0.105285714285714,0.315428571428572,0.0273809523809524,0.162428571428571,0,0.0437777777777778,0.107555555555556,0.228555555555556,0,0.0664,0,0.0834,0.0559790296521255,0.229775480514605,0.0640954302787331,0.22693891171999,-0.170959882067865,0.165680050235872,0.25495407181511,0.738161284591169,4
"CA Program",0.977272727272727,1,0.275862068965517,0.96551724137931,0,1,1,1,0.955555555555556,0.977777777777778,0.163265306122449,0.571428571428571,0,0.5,1,1,0,0.0222222222222222,0.0204081632653061,0.428571428571429,0,0.5,0,0,0.0143333333333333,0.0655111111111111,0,0.0046,0.0656326530612245,0.315428571428571,0.0046938775510204,0.162428571428571,0,0.394,0,0.121,0,0.083,0,0,0.0375268601973616,0.402618462874693,0.0022027676338732,0.135167568364809,-0.0976407081674474,0.400415695240819,0.35055870411264,1.04424513461248,2
"Calendar",0.795454545454545,0.863636363636364,0.0344827586206897,0.137931034482759,0,0.0588235294117647,0.75,1,0.74468085106383,0.808510638297872,0.03125,0.125,0,0.0555555555555556,0.6,0.8,0.127659574468085,0.191489361702128,0.78125,0.875,0.888888888888889,0.944444444444444,0,0.2,0.0111702127659574,0.0541702127659574,0.00944680851063829,0.0396382978723404,0.0125625,0.069,0.1796875,0.331625,0,0.0437777777777778,0.107555555555556,0.228555555555556,0,0.0664,0,0.0834,0.0111374127204268,0.109506776734589,0.139232185492606,0.320624549921581,-0.309487137201154,-0.0297254087580171,0.0743212770676925,0.483362081842179,14
"Conduit",0.681818181818182,0.931818181818182,0.137931034482759,0.862068965517241,0,0,1,1,0.545454545454545,0.745454545454545,0.08,0.5,0,0,1,1,0.0545454545454546,0.254545454545455,0.08,0.5,1,1,0,0,0.00818181818181818,0.0499454545454545,0.00403636363636364,0.0526909090909091,0.03216,0.276,0.0184,0.1895,0,0,0.121,0.242,0,0.083,0,0,0.0189318213814905,0.191912081536184,0.0673125738591035,0.227223665629973,-0.208291844248482,0.124599507677081,0.206275011108959,0.684594257618789,6
"Data Platform and Tools",0.636363636363636,0.818181818181818,0.310344827586207,0.758620689655172,0,0.0588235294117647,1,1,0.538461538461538,0.692307692307692,0.214285714285714,0.523809523809524,0,0.0555555555555556,1,1,0.153846153846154,0.307692307692308,0.166666666666667,0.476190476190476,0.888888888888889,0.944444444444444,0,0,0.00807692307692308,0.0463846153846154,0.0113846153846154,0.0636923076923077,0.0861428571428572,0.289142857142857,0.0383333333333333,0.18047619047619,0,0.0437777777777778,0.107555555555556,0.228555555555556,0,0.083,0,0,0.0442159558026093,0.216953048151133,0.0738061402569357,0.22184243921538,-0.177626483412771,0.143146907894198,0.246261148308911,0.708779164287828,5
"Developer Infrastructure",0.840909090909091,0.931818181818182,0.172413793103448,0.344827586206897,0,0.0588235294117647,0.75,1,0.770833333333333,0.854166666666667,0.147058823529412,0.294117647058824,0,0.0555555555555556,0.6,0.8,0.0625000000000001,0.145833333333333,0.558823529411765,0.705882352941176,0.888888888888889,0.944444444444444,0,0.2,0.0115625,0.0572291666666667,0.004625,0.0301875,0.0591176470588235,0.162352941176471,0.128529411764706,0.267529411764706,0,0.0437777777777778,0.107555555555556,0.228555555555556,0,0.0664,0,0.0834,0.033169152498392,0.154751459768602,0.112961644056625,0.28611031363286,-0.252941161134468,0.0417898157119779,0.148054476204701,0.576614451930466,10
"GeckoView",0.204545454545455,0.522727272727273,0.172413793103448,0.448275862068966,0,0.0588235294117647,0,0.75,0.155172413793103,0.396551724137931,0.135135135135135,0.351351351351351,0,0.0555555555555556,0,0.428571428571429,0.362068965517241,0.603448275862069,0.432432432432432,0.648648648648649,0.888888888888889,0.944444444444444,0.142857142857143,0.571428571428571,0.00232758620689655,0.0265689655172414,0.0267931034482759,0.124913793103448,0.0543243243243243,0.193945945945946,0.0994594594594595,0.245837837837838,0,0.0437777777777778,0.107555555555556,0.228555555555556,0,0.0355714285714286,0.0238571428571429,0.238285714285714,0.0265859076123802,0.140721816045987,0.120918513923898,0.393070017730797,-0.366484110118417,0.0198033021220892,0,0.547945108899939,16
"MailNews Core",0,0.727272727272727,0.206896551724138,0.724137931034483,0,0.176470588235294,0,1,0,0.421052631578947,0.136363636363636,0.477272727272727,0,0.15,0,0.5,0.157894736842105,0.578947368421053,0.181818181818182,0.522727272727273,0.7,0.85,0,0.5,0,0.0282105263157895,0.0116842105263158,0.119842105263158,0.0548181818181818,0.263454545454545,0.0418181818181818,0.198113636363636,0,0.1182,0.0847,0.2057,0,0.0415,0,0.2085,0.02572536572255,0.211818983420308,0.0648563481836302,0.343589911129942,-0.317864545407392,0.146962635236678,0.0633975447265239,0.713754686925616,15
"Mozilla QA",0.909090909090909,1,0.689655172413793,0.827586206896552,0,0.235294117647059,0.75,1,0.833333333333333,0.916666666666667,0.606060606060606,0.727272727272727,0,0.19047619047619,0.6,0.8,0,0.0833333333333334,0.151515151515152,0.272727272727273,0.619047619047619,0.80952380952381,0,0.2,0.0125,0.0614166666666667,0,0.01725,0.243636363636364,0.401454545454546,0.0348484848484849,0.103363636363636,0,0.150095238095238,0.0749047619047619,0.195904761904762,0,0.0664,0,0.0834,0.120201024748399,0.318816673807523,0.0515055829711609,0.187675816916983,-0.0674747921685835,0.267311090836362,0.389893589567114,0.870683212345321,1
"mozilla.org",0.931818181818182,1,0.310344827586207,0.862068965517241,0,0,1,1,0.872340425531915,0.936170212765957,0.2,0.555555555555555,0,0,1,1,0,0.0638297872340426,0.0888888888888889,0.444444444444444,1,1,0,0,0.0130851063829787,0.0627234042553192,0,0.0132127659574468,0.0804,0.306666666666667,0.0204444444444445,0.168444444444444,0,0,0.121,0.242,0,0.083,0,0,0.043871184186484,0.212300000432674,0.0663777955063327,0.198816091980802,-0.154944907794318,0.145922204926342,0.275836818376826,0.712398016467408,3
