"Product","New_min","New_max","Fixed_min","Fixed_max","Assigned_min","Assigned_max","Reopened_min","Reopened_max","Omega_N_min","Omega_N_max","Omega_F_min","Omega_F_max","Omega_A_min","Omega_A_max","Omega_R_min","Omega_R_max","Theta_N_min","Theta_N_max","Theta_F_min","Theta_F_max","Theta_A_min","Theta_A_max","Theta_R_min","Theta_R_max","ABCD_N_min","ABCD_N_max","ABCD_N_min_beta","ABCD_N_max_beta","ABCD_F_min","ABCD_F_max","ABCD_F_min_beta","ABCD_F_max_beta","ABCD_A_min","ABCD_A_max","ABCD_A_min_beta","ABCD_A_max_beta","ABCD_R_min","ABCD_R_max","ABCD_R_min_beta","ABCD_R_max_beta","U_min","U_max","V_min","V_max","S_min","S_max","d_min","d_max","Rank"
"bugzilla.mozilla.org",0,0.992700729927007,0.294117647058824,0.588235294117647,0,0.833333333333333,0,1,0,0.498168498168498,0.227272727272727,0.454545454545455,0,0.454545454545455,0,0.5,0.00366300366300366,0.501831501831502,0.318181818181818,0.545454545454545,0.0909090909090909,0.545454545454545,0,0.5,0,0.0333772893772894,0.000271062271062271,0.103879120879121,0.0913636363636364,0.250909090909091,0.0731818181818182,0.206727272727273,0,0.358181818181818,0.011,0.132,0,0.0415,0,0.2085,0.0428756095375834,0.320976206517527,0.0396324935252149,0.305554645270258,-0.262679035732675,0.281343712992312,0.0979589572585309,0.928638721020744,10
"CA Program",0.992700729927007,1,0.0588235294117647,0.294117647058824,0.166666666666667,0.333333333333333,1,1,0.985507246376812,0.992753623188406,0.0476190476190476,0.238095238095238,0.142857142857143,0.285714285714286,1,1,0,0.0072463768115942,0.571428571428571,0.761904761904762,0.571428571428572,0.714285714285714,0,0,0.0147826086956522,0.0665144927536232,0,0.0015,0.0191428571428571,0.131428571428571,0.131428571428571,0.288761904761905,0.065,0.225142857142857,0.0691428571428572,0.172857142857143,0,0.083,0,0,0.046424264788826,0.237498672544489,0.0941252187204602,0.217334951250198,-0.170910686461372,0.143373453824029,0.228731378135936,0.732027308221128,4
"Calendar",0.875912408759124,0.978102189781022,0,0.0882352941176471,0,0,1,1,0.794701986754967,0.887417218543046,0,0.0810810810810811,0,0,1,1,0.0198675496688741,0.112582781456954,0.837837837837838,0.918918918918919,1,1,0,0,0.0119205298013245,0.0594569536423841,0.00147019867549669,0.0233046357615894,0,0.0447567567567568,0.192702702702703,0.34827027027027,0,0,0.121,0.242,0,0.083,0,0,0.00559412914793022,0.0878566382275756,0.147906002805481,0.287941670670543,-0.282347541522613,-0.0600493645779053,0.0699307957233672,0.442144198898984,11
"Conduit",0.912408759124088,0.985401459854015,0.0588235294117647,0.352941176470588,0,0.166666666666667,0.5,1,0.850340136054422,0.918367346938775,0.0454545454545454,0.272727272727273,0,0.142857142857143,0.333333333333333,0.666666666666667,0.0136054421768707,0.0816326530612245,0.5,0.727272727272727,0.714285714285714,0.857142857142857,0,0.333333333333333,0.0127551020408163,0.061530612244898,0.00100680272108843,0.0168979591836735,0.0182727272727273,0.150545454545455,0.115,0.275636363636364,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.0553333333333333,0,0.139,0.0145609035213025,0.178319409026756,0.0949999409402881,0.299855879791923,-0.28529497627062,0.083319468086468,0.0657306201678972,0.646448727364014,14
"Data Platform and Tools",0.861313868613139,0.956204379562044,0.676470588235294,0.941176470588235,0,0,0.5,1,0.786666666666667,0.873333333333333,0.534883720930233,0.744186046511628,0,0,0.333333333333333,0.666666666666667,0.0399999999999999,0.126666666666667,0.0465116279069768,0.255813953488372,1,1,0,0.333333333333333,0.0118,0.0585133333333333,0.00296,0.02622,0.215023255813954,0.410790697674419,0.0106976744186047,0.096953488372093,0,0,0.121,0.242,0,0.0553333333333333,0,0.139,0.106444814779649,0.246204591647231,0.0631928642444998,0.236601195913507,-0.130156381133859,0.183011727402732,0.286807383765063,0.788512937922967,2
"Developer Infrastructure",0.905109489051095,0.963503649635037,0.147058823529412,0.470588235294118,0,0.166666666666667,0.5,1,0.855172413793103,0.910344827586207,0.111111111111111,0.355555555555556,0,0.142857142857143,0.333333333333333,0.666666666666667,0.0344827586206896,0.0896551724137931,0.4,0.644444444444444,0.714285714285714,0.857142857142857,0,0.333333333333333,0.0128275862068966,0.0609931034482759,0.00255172413793103,0.0185586206896552,0.0446666666666667,0.196266666666667,0.092,0.244244444444444,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.0553333333333333,0,0.139,0.0269812064731162,0.199523455826038,0.0849313884117051,0.285903438248004,-0.258922231774887,0.114592067414333,0.1033125061915,0.691013041244649,9
"GeckoView",0.875912408759124,0.985401459854015,0.0882352941176471,0.235294117647059,0,0.333333333333333,0.5,1,0.789473684210526,0.888157894736842,0.0769230769230769,0.205128205128205,0,0.25,0.333333333333333,0.666666666666667,0.0131578947368421,0.111842105263158,0.666666666666667,0.794871794871795,0.5,0.75,0,0.333333333333333,0.0118421052631579,0.0595065789473684,0.000973684210526315,0.0231513157894737,0.0309230769230769,0.113230769230769,0.153333333333333,0.30125641025641,0,0.197,0.0605,0.1815,0,0.0553333333333333,0,0.139,0.0200690704332605,0.199479413164142,0.100805771056295,0.302645701837667,-0.282576631404406,0.0986736421078471,0.0696043363429975,0.668328847506664,12
"MailNews Core",0.54014598540146,0.897810218978102,0.294117647058824,0.382352941176471,0,0.166666666666667,0,1,0.397849462365591,0.661290322580645,0.27027027027027,0.351351351351351,0,0.142857142857143,0,0.5,0.0752688172043011,0.338709677419355,0.567567567567568,0.648648648648649,0.714285714285714,0.857142857142857,0,0.5,0.00596774193548387,0.0443064516129032,0.00556989247311828,0.0701129032258065,0.108648648648649,0.193945945945946,0.130540540540541,0.245837837837838,0,0.112571428571429,0.0864285714285714,0.207428571428571,0,0.0415,0,0.2085,0.0537877847783249,0.184111796015898,0.104434278681416,0.34346018700653,-0.289672402228206,0.0796775173344819,0.0594926678212484,0.641258847407195,15
"Mozilla QA",0.992700729927007,1,0,0,0,0,1,1,0.985507246376812,0.992753623188406,0,0,0,0,1,1,0,0.0072463768115942,1,1,1,1,0,0,0.0147826086956522,0.0665144927536232,0,0.0015,0,0,0.23,0.379,0,0,0.121,0.242,0,0.083,0,0,0.00693726063900332,0.0701649503747821,0.164719132760805,0.292130085879206,-0.285192825240203,-0.0945541823860231,0.0658761881948794,0.392973884814317,13
"mozilla.org",0.992700729927007,1,0.411764705882353,1,0,0,1,1,0.985507246376812,0.992753623188406,0.259259259259259,0.62962962962963,0,0,1,1,0,0.0072463768115942,0,0.37037037037037,1,1,0,0,0.0147826086956522,0.0665144927536232,0,0.0015,0.104222222222222,0.347555555555556,0,0.14037037037037,0,0,0.121,0.242,0,0.083,0,0,0.0558472152226169,0.233267656065127,0.0567835187010183,0.180144713675147,-0.12429749845253,0.176484137364109,0.295156452675619,0.779210942642194,1
